ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"125.26.22.7","elite","AS23969","TH","TOT Public Company Limited","197","TOT Public Company Limited","5678","socks4","1","94","10363","11074","2025-12-07T20:37:05.287Z","2009"
"5.9.154.177","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","30000","socks5","1","100","11004","11006","2025-12-07T20:37:05.063Z","4390"
"132.148.154.73","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","26460","socks4","1","100","3933","3940","2025-12-07T20:37:05.289Z","4387"
"87.103.174.147","elite","AS12389","RU","PJSC Rostelecom","104","OJSC Sibirtelecom","3629","socks4","1","28","3113","10970","2025-12-07T20:37:05.294Z","4792"
"177.67.136.113","elite","AS52663","BR","Turbo BSB Tecnologias em Rede Ltda.","234","Turbo BSB Tecnologias em Rede Ltda","4153","socks4","1","55","2324","4247","2025-12-07T20:37:05.001Z","4887"
"54.38.81.12","elite","AS16276","FR","OVH SAS","11","OVH","40559","socks5","1","100","4217","4224","2025-12-07T20:37:05.291Z","1107"
"78.90.252.7","elite","AS20911","BG","Surf.net broadband Blgr","31","N/A","4153","socks4","1","100","4157","4165","2025-12-07T20:37:05.285Z","4698"
"178.32.47.218","elite","AS16276","BE","OVH ISP","14","OVH BE","38650","socks5","1","100","11120","11126","2025-12-07T20:37:05.288Z","3230"
"192.163.200.93","elite","AS46606","US","Unified Layer","149","Unified Layer","22179","socks4","1","95","3825","4010","2025-12-07T20:37:05.287Z","4608"
"187.85.154.18","elite","AS53062","BR","Ggnet Telecom Backbone","201","ALT | GRUPO BRASIL TECPAR","5678","socks4","1","99","10852","10916","2025-12-07T20:37:05.288Z","1591"
"103.228.246.129","elite","AS59282","ID","PT Giga Patra Multimedia","174","GPM","5678","socks4","1","98","10881","11117","2025-12-07T20:37:05.286Z","2398"
"193.136.14.120","elite","AS1930","PT","Fundacao para a Ciencia e a Tecnologia, I.P.","44","N/A","80","socks4","1","77","8543","11134","2025-12-07T20:37:05.288Z","4463"
"75.119.206.82","elite","AS26347","US","New Dream Network","141","DreamHost","32524","socks4","1","79","8742","11065","2025-12-07T20:37:04.973Z","619"
"101.108.12.69","elite","AS23969","TH","TOT Public Company Limited","168","TOT Public Company Limited","4145","socks4","1","59","6538","11057","2025-12-07T20:37:04.997Z","4705"
"200.125.44.242","elite","AS6057","UY","Administracion Nacional de Telecomunicaciones","206","Administracion Nacional de Telecomunicaciones","4145","socks4","1","100","4321","4324","2025-12-07T20:37:04.972Z","3420"
"160.202.41.194","elite","AS9341","ID","Jakarta 5 8 Iconpln","220","N/A","4153","socks4","1","99","10884","11031","2025-12-07T20:37:04.970Z","2998"
